,Unnamed: 0,xmin,ymin,xmax,ymax,confidence,raw_x,raw_y,x,y,d,r,g,b
0,0,167.0,115.0,197.75,140.125,0.82177734375,182.375,127.5625,188.83893396100424,255.57080078125,250,137,144,152
1,1,166.875,114.875,198.125,140.0,0.818359375,182.5,127.4375,188.88536102207976,255.48388671875,249,135,142,150
2,2,167.125,114.5625,198.625,140.0,0.78271484375,182.875,127.28125,189.02464220530626,255.375244140625,249,135,142,150
3,3,167.625,114.6875,199.125,139.75,0.82177734375,183.375,127.21875,189.21035044960826,255.331787109375,249,138,144,152
4,4,167.75,114.625,199.5,139.875,0.8056640625,183.625,127.25,189.30320457175924,255.353515625,249,138,145,153
5,5,167.875,114.75,199.375,139.375,0.62548828125,183.625,127.0625,189.30320457175924,255.22314453125,249,136,143,151
6,6,167.625,114.875,198.875,139.375,0.67333984375,183.25,127.125,189.16392338853274,255.2666015625,250,133,141,150
7,7,166.875,114.8125,198.125,138.75,0.5537109375,182.5,126.78125,188.88536102207976,255.027587890625,249,137,144,152
8,8,166.875,114.625,199.375,139.875,0.57275390625,183.125,127.25,189.11749632745725,255.353515625,249,138,145,153
9,9,166.625,114.875,197.875,138.875,0.5361328125,182.25,126.875,188.79250689992875,255.0927734375,250,136,143,151
10,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
11,11,166.75,115.0,198.5,139.0,0.490478515625,182.625,127.0,188.93178808315525,255.1796875,251,142,145,153
12,12,167.375,115.3125,199.125,140.125,0.64892578125,183.25,127.71875,189.16392338853274,255.679443359375,249,138,146,154
13,13,167.875,114.9375,199.625,139.75,0.5634765625,183.75,127.34375,189.34963163283473,255.418701171875,248,135,143,152
14,14,167.25,114.9375,198.75,138.625,0.54345703125,183.0,126.78125,189.07106926638176,255.027587890625,249,133,140,148
15,15,167.625,115.125,199.625,139.875,0.6171875,183.625,127.5,189.30320457175924,255.52734375,249,142,145,153
16,16,167.0,115.3125,198.75,138.625,0.474365234375,182.875,126.96875,189.02464220530626,255.157958984375,250,136,141,150
17,17,166.625,115.875,198.625,139.125,0.429443359375,182.625,127.5,188.93178808315525,255.52734375,251,137,144,150
18,18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
19,19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
20,20,165.875,116.375,198.625,139.375,0.440673828125,182.25,127.875,188.79250689992875,255.7880859375,250,137,144,152
